Date,ET window,Platform,Target,Role / handle,Post or trigger,Comment angle,Engine: registry status,Engine: guards,Engine: did they post today?,Priority
2026-07-17,09:00-11:00,LinkedIn,Roxanne Bras Petraeus,Compliance and employee-risk voice,Employee-policy response to the White House teleprompter case,Widening insider perimeter and policy gap,,,"LINKEDIN: ""Feed post View Roxanne Bras Petraeus’ profile Roxanne Bras Petraeus • 2nd CEO @ """,Critical
2026-07-17,09:00-11:00,LinkedIn,Colin Goldman,Prediction-markets commentator,Two-sided read on the teleprompter case and exchange surveillance,Listing design and surveillance can both matter,,,"LINKEDIN: ""Feed post View Colin Goldman’s profile Colin Goldman • Following Digital Marketi""",Critical
2026-07-17,09:00-11:00,LinkedIn,Michael Ross,StarCompliance,Prediction markets as a new MNPI vector,Personal-account dealing perimeter is widening,candidate,,,Critical
2026-07-17,10:00-12:00,LinkedIn,Ananya Chetia,CNBC data journalist covering prediction markets,CFTC versus SEC watchdog question,Product boundaries are outrunning agency boundaries,candidate,,"LINKEDIN: ""Feed post View Jerome Tomas’ profile Jerome Tomas • 2nd Co-Chair of Baker McKenz""",High
2026-07-17,10:00-12:00,LinkedIn,John Conlon,"Director, Greenlight Commodities",Post arguing the industry is asking the wrong question about event contracts,Trust will be defined by operating architecture,contact,,"LINKEDIN: ""Feed post View John Conlon’s profile John Conlon • Following Director @ Greenlig""",High
2026-07-17,10:00-12:00,LinkedIn,"Nicole Moran, Ph.D.","Vice President, Cornerstone Research",New article on regulatory challenges facing prediction markets,Different contracts create different risk profiles,contact,,"LINKEDIN: ""Feed post View Nicole Moran, Ph.D.’s profile Nicole Moran, Ph.D. • 2nd Vice Pres""",High
2026-07-20,09:00-11:00,LinkedIn,Jakub Hanas,"Regulatory compliance, Apotech",Kalshi clinical-trial and FDA markets,Biopharma information perimeter,,,"LINKEDIN: ""Feed post View Jakub Hanas’ profile Jakub Hanas • 3rd+ Business Manager @ Apotec""",High
2026-07-20,09:00-11:00,LinkedIn,Justin Nicholson,"Markets & Operations, ProphetX",BetBash attendance and category build-mode post,Talent convergence is the signal,,,"LINKEDIN: ""Feed post View Justin Nicholson’s profile Justin Nicholson • Following Markets &""",High
2026-07-20,09:00-11:00,LinkedIn,Eventus,Market surveillance company,Quarterly roundup featuring prediction-market surveillance and enforcement,Controls are becoming part of the product,,company in sent ledger: Cameron (2026-06-29),"LINKEDIN: ""Feed post View company: Eventus Eventus 12h • #ICYMI: Catch up on Eventus' Q2 20""",High
2026-07-20,10:00-12:00,LinkedIn,Mark Ford,Lawyer and prediction-market critic,“Benign descriptor for betting with inside knowledge” post,Mechanics will not rescue poor contract choices,,,"LINKEDIN: ""Feed post View Mark Ford’s profile Mark Ford • 3rd+ Lawyer; Counsel, Ford Sumner""",High
